,Title,pub_date,No_ofViwes,Likes,Comments
0,When a New Data Scientist Joins The Team,2022-08-29,11804,560,110
1,State of Data Science - Web Data,2022-08-05,9405,335,32
2,Data Science Town Hall - State of Data Science,2022-08-04,9144,361,38
3,How I Would Learn to Code (If I Had to Start Over) | Data Track,2022-07-29,8189,496,50
4,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,25307,1333,83
5,Can Machine Learning Fix My Baseball Swing?,2022-06-10,6512,314,68
6,Every Data Scientist... (funny!),2022-05-24,12571,730,144
7,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15635,427,65
8,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,33506,1010,81
9,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,14827,655,98
10,Can Data Defeat This Deceitful OpenSea NFT Scam?,2022-03-03,4386,183,51
11,When a PM Joins the Data Team... (funny!) - Ft @Luke Barousse,2022-02-21,9654,459,142
12,What Professional Data Scientists ACTUALLY Do,2022-02-14,78206,2725,175
13,Can You Analyze My Data Better Than I Can?,2022-01-31,6104,302,62
14,Giving Back to My Most Engaged Subscribers!,2022-01-28,2202,117,89
15,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,11850,549,71
16,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8103,414,85
17,Should  @Luke Barousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,6711,192,32
18,The Only Data Science Explanation You Need,2022-01-10,27156,1529,157
19,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,13815,634,144
20,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,276846,12555,477
21,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,7615,322,58
22,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,6112,419,22
23,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,21923,1079,151
24,Why Is Data Engineering So HOT Right Now?,2021-11-26,26935,1019,138
25,Is Data Science Dying?,2021-11-19,102316,3304,329
26,7 Incredible Books That Transformed My Health and My Life,2021-11-12,7464,377,112
27,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3525,197,48
28,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,8951,242,32
29,ML Ops: What is it REALLY?,2021-10-22,4957,230,61
30,Business Skills for Data Science: What are they REALLY?,2021-10-18,6215,284,50
31,#66DaysOfData Round 3 Live Event! (feat. @StatQuest with Josh Starmer),2021-10-12,2173,123,5
32,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5309,270,67
33,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,11707,509,112
34,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,7854,303,32
35,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,30767,1125,29
36,How I Learned to Learn.,2021-07-31,40849,2025,199
37,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,8305,471,49
38,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2348,93,30
39,Why are APIs Important for Data Science?,2021-07-09,8249,406,92
40,Is Your Phone REALLY Listening to You?,2021-07-03,4860,275,118
41,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,11410,504,121
42,#66DaysOfData - 3 Reasons to Start!,2021-06-18,3772,202,38
43,#66DaysOfData - What is it? #shorts,2021-06-11,7726,337,53
44,A Quick Data Science Project Tip! #SHORTS,2021-06-03,14229,799,89
45,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7206,383,199
46,How Data Science Projects Pay Off,2021-05-22,9941,574,146
47,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,9984,467,136
48,What is a lambda function (python)? #shorts,2021-05-13,10554,679,47
49,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,17874,821,57
50,What is Pandas? (Data & Data Science) #shorts,2021-04-30,17225,755,88
51,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,66124,3015,280
52,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,22241,649,90
53,Why You Probably Won't Become a Data Scientist,2021-04-09,124476,3640,478
54,How to Go From Data Analyst to Data Scientist,2021-04-02,47635,1359,175
55,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3794,138,89
56,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,14305,310,106
57,My Regrets as a Data Science Student,2021-03-12,22467,831,112
58,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3745,194,83
59,What is the Future of my Comment Leaderboard Project?,2021-02-26,5416,198,81
60,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6005,163,51
61,Why I Quit Data Science,2021-02-12,102556,2310,347
62,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,8988,417,115
63,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6876,293,126
64,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,8309,273,52
65,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,18766,641,134
66,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,31349,1047,147
67,What is the #66DaysOfData?,2020-12-26,64317,2172,207
68,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,129156,5930,505
